Cluster ID,Cluster Name,Year,Count
4,Mechanical_Drive_Systems,1916,516
4,Mechanical_Drive_Systems,1917,650
4,Mechanical_Drive_Systems,1918,564
4,Mechanical_Drive_Systems,1919,475
4,Mechanical_Drive_Systems,1920,926
4,Mechanical_Drive_Systems,1921,953
4,Mechanical_Drive_Systems,1922,707
4,Mechanical_Drive_Systems,1923,962
4,Mechanical_Drive_Systems,1924,1285
4,Mechanical_Drive_Systems,1925,975
4,Mechanical_Drive_Systems,1926,964
4,Mechanical_Drive_Systems,1927,1172
4,Mechanical_Drive_Systems,1928,1807
4,Mechanical_Drive_Systems,1929,1792
4,Mechanical_Drive_Systems,1930,1571
4,Mechanical_Drive_Systems,1931,2139
4,Mechanical_Drive_Systems,1932,2478
4,Mechanical_Drive_Systems,1933,1636
4,Mechanical_Drive_Systems,1934,2299
4,Mechanical_Drive_Systems,1935,2542
4,Mechanical_Drive_Systems,1936,2422
4,Mechanical_Drive_Systems,1937,2061
4,Mechanical_Drive_Systems,1938,1945
4,Mechanical_Drive_Systems,1939,1182
4,Mechanical_Drive_Systems,1940,1074
4,Mechanical_Drive_Systems,1941,506
4,Mechanical_Drive_Systems,1942,508
4,Mechanical_Drive_Systems,1943,371
4,Mechanical_Drive_Systems,1944,388
4,Mechanical_Drive_Systems,1945,658
4,Mechanical_Drive_Systems,1946,673
4,Mechanical_Drive_Systems,1947,1151
4,Mechanical_Drive_Systems,1948,2132
4,Mechanical_Drive_Systems,1949,1781
4,Mechanical_Drive_Systems,1950,979
4,Mechanical_Drive_Systems,1951,1624
4,Mechanical_Drive_Systems,1952,2144
4,Mechanical_Drive_Systems,1953,1378
4,Mechanical_Drive_Systems,1954,1994
4,Mechanical_Drive_Systems,1955,2159
4,Mechanical_Drive_Systems,1956,1641
4,Mechanical_Drive_Systems,1957,1426
4,Mechanical_Drive_Systems,1958,1299
4,Mechanical_Drive_Systems,1959,1929
4,Mechanical_Drive_Systems,1960,2824
4,Mechanical_Drive_Systems,1961,2411
4,Mechanical_Drive_Systems,1962,1863
4,Mechanical_Drive_Systems,1963,1709
4,Mechanical_Drive_Systems,1964,2880
4,Mechanical_Drive_Systems,1965,2397
4,Mechanical_Drive_Systems,1966,2126
4,Mechanical_Drive_Systems,1967,3647
4,Mechanical_Drive_Systems,1968,3338
4,Mechanical_Drive_Systems,1969,3161
4,Mechanical_Drive_Systems,1970,3870
4,Mechanical_Drive_Systems,1971,3597
4,Mechanical_Drive_Systems,1972,4178
4,Mechanical_Drive_Systems,1973,3834
4,Mechanical_Drive_Systems,1974,3425
4,Mechanical_Drive_Systems,1975,5529
4,Mechanical_Drive_Systems,1976,11718
4,Mechanical_Drive_Systems,1977,8938
4,Mechanical_Drive_Systems,1978,9335
4,Mechanical_Drive_Systems,1979,6738
4,Mechanical_Drive_Systems,1980,9736
4,Mechanical_Drive_Systems,1981,10163
4,Mechanical_Drive_Systems,1982,10116
4,Mechanical_Drive_Systems,1983,9981
4,Mechanical_Drive_Systems,1984,11457
4,Mechanical_Drive_Systems,1985,12121
4,Mechanical_Drive_Systems,1986,12189
4,Mechanical_Drive_Systems,1987,16675
4,Mechanical_Drive_Systems,1988,17834
4,Mechanical_Drive_Systems,1989,23217
4,Mechanical_Drive_Systems,1990,20855
4,Mechanical_Drive_Systems,1991,21259
4,Mechanical_Drive_Systems,1992,21755
4,Mechanical_Drive_Systems,1993,20890
4,Mechanical_Drive_Systems,1994,21920
4,Mechanical_Drive_Systems,1995,23561
4,Mechanical_Drive_Systems,1996,26844
4,Mechanical_Drive_Systems,1997,28319
4,Mechanical_Drive_Systems,1998,35319
4,Mechanical_Drive_Systems,1999,44638
4,Mechanical_Drive_Systems,2000,47584
4,Mechanical_Drive_Systems,2001,51787
4,Mechanical_Drive_Systems,2002,65281
